title,category,article
中国の高速鉄道が脱線 9人死傷,国際, 中国南部の貴州省の榕江駅付近で4日午前10時半ごろ高速鉄道が脱線する事故があり運転士1人が死亡乗員と乗客計8人がけがを負った中国国営中央テレビが伝えた写真3月の中国機墜落では意図的な墜落とも 脱線したのは貴州省貴陽市から広東省広州市に向かう高速鉄道で事故当時は約140人の乗客がいたトンネルの出口付近の線路上に流れ込んだ土砂に接触したのが脱線の原因という運営会社は4日列車が土砂と接触し900メートル超滑ったと発表した SNS上に拡散した動画には運転席付近に穴が開き大破した先頭車両が駅のホームに乗り上げた様子が映り事故の衝撃を物語っている香港フェニックステレビ傘下のネットメディアによると高速鉄道は時速250キロで走行していた8両編成の先頭車両と2両目が脱線し通過する予定だった同駅付近で止まったという付近では数日間雨が続いておりトンネル上部を通る高速道路の建設時に発生した泥が線路に流入したとの情報もある
海の幸とらないで 素人の密漁急増,地域, 新型コロナウイルス対策で密を避けようとアウトドア人気が高まる中急増する素人の密漁に漁協関係者が頭を抱えている水産物を無断でとったとして漁業法違反の疑いなどで和歌山海上保安部が今年に入ってから摘発した件数は既に昨年1年間の倍近くに漁協関係者は摘発は氷山の一角とってはいけないと知らなかったとしても密漁は密漁だと注意を呼び掛けている大塚愛恵写真今年は豊漁天然アユ遡上調査 和歌山海保によると管内では2020年は1件だけだった密漁の摘発が21年は6件となった22年は5月までの半年足らずで既に前年の倍近くを摘発しているという管内には潮の干満の関係で簡単に水産物が手に届く場所が多く海保は個人消費が目的の密漁が増えているとみている 和歌山市加太では大型連休期間密漁が相次いだ5月1日には和歌山名産の巻き貝ガンガラなどを密漁していた50代の男性2日にはトコブシなどを密漁していた70代の女性2人が和歌山海保に摘発された警備救難課の塩見慶史課長は周囲には看板も多数設置されているので知らなかったは苦しい言い訳とってしまうと想像以上に重い罪に問われることになると警告する加太漁協は磯遊びを楽しむのは構わない何をとってはいけないのか事前に確認してほしいと訴える 18年の漁業法改正で罰則が大幅に強化されている特定水産動植物に指定されているアワビとナマコなどの密漁は3年以下の懲役または3000万円以下の罰金が科せられるまたそれら以外でも漁業権の対象となっている水産物の密漁では100万円以下の罰金が科せられる 加太漁協などによると摘発されるのは氷山の一角で水産資源への影響は想像以上に大きいワカメやヒジキの収穫期が目前に迫った2月28日午後11時40分ごろには数人が磯場をライトで照らしているのを組合員が見つけ海保に通報した密漁者とみられる集団はワカメ42キロヒジキ28キロをその場に放置して逃げたという 漁協の西垣一男参事はワカメやヒジキは無計画に刃物を入れると次に生える際の栄養状態が悪くなる組合員は生育状況を考慮しているが密漁をされてしまうと貴重な水産資源が荒らされてしまうと肩を落とす 密漁の増加を受け漁協は海保に取り締まりの強化を要請している海保は密漁は水産資源の枯渇につながり漁業者にとって死活問題個人消費のためでも密漁に当たるので決められたルールを守ってもらいたいとしている
今は「直飲み」給食牛乳の変化,経済,昨年末や今年の3月牛乳廃棄が問題になり牛乳を飲もうというキャンペーンが全国で広がりましたいずれも学校が休みに入る時期と重なっており給食牛乳が牛乳消費に大きく影響していることに気づいた人も多いのではないでしょうか今回はそんな給食牛乳の歴史を振り返ります話を伺ったのは学校給食研究改善協会の村上松二さんと学校給食栄養士としてメディアなどでも多く活躍している松丸奨さん脱脂粉乳から牛乳へと切り替わった背景と今の給食牛乳事情についてそれぞれにお話を聞きました
梅雨空が続く沖縄 土砂災害に注意,地域,週明けは低気圧通過で雨風強まる梅雨入りはいつ中旬以降になる可能性も関東など来週は暑さが落ち着く
想像以上に罪重い 素人の密漁急増,地域, 新型コロナウイルス対策で密を避けようとアウトドア人気が高まる中急増する素人の密漁に漁協関係者が頭を抱えている水産物を無断でとったとして漁業法違反の疑いなどで和歌山海上保安部が今年に入ってから摘発した件数は既に昨年1年間の倍近くに漁協関係者は摘発は氷山の一角とってはいけないと知らなかったとしても密漁は密漁だと注意を呼び掛けている大塚愛恵写真今年は豊漁天然アユ遡上調査 和歌山海保によると管内では2020年は1件だけだった密漁の摘発が21年は6件となった22年は5月までの半年足らずで既に前年の倍近くを摘発しているという管内には潮の干満の関係で簡単に水産物が手に届く場所が多く海保は個人消費が目的の密漁が増えているとみている 和歌山市加太では大型連休期間密漁が相次いだ5月1日には和歌山名産の巻き貝ガンガラなどを密漁していた50代の男性2日にはトコブシなどを密漁していた70代の女性2人が和歌山海保に摘発された警備救難課の塩見慶史課長は周囲には看板も多数設置されているので知らなかったは苦しい言い訳とってしまうと想像以上に重い罪に問われることになると警告する加太漁協は磯遊びを楽しむのは構わない何をとってはいけないのか事前に確認してほしいと訴える 18年の漁業法改正で罰則が大幅に強化されている特定水産動植物に指定されているアワビとナマコなどの密漁は3年以下の懲役または3000万円以下の罰金が科せられるまたそれら以外でも漁業権の対象となっている水産物の密漁では100万円以下の罰金が科せられる 加太漁協などによると摘発されるのは氷山の一角で水産資源への影響は想像以上に大きいワカメやヒジキの収穫期が目前に迫った2月28日午後11時40分ごろには数人が磯場をライトで照らしているのを組合員が見つけ海保に通報した密漁者とみられる集団はワカメ42キロヒジキ28キロをその場に放置して逃げたという 漁協の西垣一男参事はワカメやヒジキは無計画に刃物を入れると次に生える際の栄養状態が悪くなる組合員は生育状況を考慮しているが密漁をされてしまうと貴重な水産資源が荒らされてしまうと肩を落とす 密漁の増加を受け漁協は海保に取り締まりの強化を要請している海保は密漁は水産資源の枯渇につながり漁業者にとって死活問題個人消費のためでも密漁に当たるので決められたルールを守ってもらいたいとしている
二宮和也 ドラマ撮影は「つらい」,エンタメ, 嵐の二宮和也38が忙しいTBS系日曜劇場マイファミリー後9時では娘を誘拐されたゲーム会社の社長を好演8月にTANG タング12月にラーゲリより愛を込めてと主演映画2本の公開を控え日本テレビ系チャリティー番組24時間テレビ45 愛は地球を救う8月2728日両国国技館のメインパーソナリティーも務めるインタビュー前編は演技やオフ後編はYouTubeやテレビそして嵐について2週にわたって語り尽くした写真二宮の“娘”友果役の大島美優が童顔カワイイ 正対した二宮は取材中に何度か宙を見上げうーんと思考を巡らせた時間をかけて思いを正確に言語化するその丁寧な作業が“ニノ”らしかった マイファミリーでは娘を誘拐されたゲーム会社社長を演じている このような物語は集中してもらえばもらうほどキャラクターについてはあまり気にしなくていいのかなと思っていて例えば億万長者が転落していくストーリーだったらキャラクターを詰めていけばいいと思いますけど今回は違う犯人が誰か分からないしなんでこのようなことをしているかも分からない全体図を共有して作品をつくり上げていくイメージですね 本作に限らず二宮の演技は自然体といった印象を抱くことが多い 全ては現場だと思いますありがたいことに現場とスタッフの巡り合わせが良くて25年ぐらいやらせていただいてとても誇れることですねほとんどトラブルが起きたことがない監督とプロデューサーがケンカしたとか他の現場で聞く都市伝説みたいなことに出合ったことがなくて 誇りという現場だからこそ実践できることがある 僕結構セリフを変えることがあるんですよねイントネーションや文法とかを自分の言いやすいものにしたり言葉を変えたり倒置法にしてみたり自然に見えているとしたら僕が普段しているようなしゃべり口だからかな今回もおたべちゃん多部未華子になんでそんなに変わるのとよく言われて笑いもちろん変えられない現場もありますけど今回は濱田岳も賀来ちゃん賀来賢人もみんなうまくてさすが日曜劇場演技がうまい方々に囲まれてラッキーだった皆が自分の存在を引き算していて良い意味で記憶に残らないプロの詐欺集団ってこんな感じなんだろうなって笑いそれがよく出ていたのが8話の最後に3人が車に残っているシーン皆が爪痕を残さないで面白かったですね 続けざまに明かしてくれたのは意外な目標 飲食店の店員さんのいらっしゃいませにはかなわないと思っていてどんなに芝居しても新人のバイトさんにすら勝てない笑いあれほど言い慣れて違和感を持たないフレーズはないですよあそこまでいけたらおそらく一流なんですよね これまで数々のドラマや映画に出演し確固たる地位を確立した演技の醍醐だいご味も聞いた でき上がったものを見てくれる人がいて周りの人からの感想やSNSとかの反応を見る瞬間かなそれが一番うれしいかもしれないですね一瞬笑顔を見せたがすぐに真顔に戻った でも撮っている間は基本的にはつらいんですよ少し目線を落として続けた役者って常にスイッチを入れていないといけない職業だと思っていていざ撮影するとなっても天気や電車の音とかいろいろなことで待ちましょうとなる環境が整ったらまたすぐに気持ちを動かさないといけないそういった連続でずっと気を張っていくのは正直大変なこともあるある撮影で環境が整ったからすぐにやってというのはおかしいと怒った方を見たこともありますけど 笑いも交えたが本音だった僕はそのあたりに疑問を抱くことはないですけど撮影が長引いて家に帰ると疲れたなと思うこともありますどんな現場でも楽しいと思うことはあまりなくて働くことはしんどいことも多いそれはもう皆さんと何も変わらないでも唯一この職業で救われるのは見ていただいた方から感想を頂くことこれが本当に救いであってやりがいなんですよねペン田中 雄己 〇多忙な日々の中つかの間のオフはずっとYouTubeを見ていますねと言う最近のお気に入りは男3人が一緒に生活している様子をただ撮影しているチャンネル3人の空気感とかが良いんですよね最近はそればかり見ていますね人気が出て登録者数が上がっているさまを見るのが疑似成功体験として気持ちいいんですよね 二宮 和也にのみやかずなり1983年6月17日東京都出身38歳96年にジャニーズ事務所入所99年に嵐としてシングルARASHIでデビュー2006年にTBS系ドラマ少しは恩返しができたかなで橋田賞受賞同年硫黄島からの手紙でハリウッド映画初出演15年母と暮せばで日本アカデミー賞最優秀主演男優賞などを受賞18年検察側の罪人で報知映画賞助演男優賞を受賞血液型A
歯の保険診療可 白い被せものとは,科学, 虫歯になってしまい久しぶりに歯医者に行ったら銀歯ではなく白色のかぶせもので治療をしてもらいました白色のかぶせものはCADCAMキャドキャム冠と呼ばれるプラスチックだそうですどんなものなのか日本歯科医師会常務理事で林歯科医院大阪市院長の林正純さんに話を聞きました聞き手 山口千尋
黒海でイルカ大量死 軍艦が原因?,科学, キーウ共同米NBCテレビなどは3日ロシアのウクライナ侵攻後100頭以上のイルカが黒海沿いのトルコの海岸に打ち上げられたと伝えた専門家はロシア軍艦や潜水艦からの低周波が原因である可能性が高いと指摘生物多様性の危機だと警鐘を鳴らしている写真ロシアにイルカ監獄97頭の運命は18年
久保建英 ブラジル戦「ワクワク」,スポーツ,日本代表MF久保建英が4日オンラインでの取材に応じてブラジル戦への意気込みなどを語っている動画負傷報道のネイマールが圧巻PK2発韓国を撃破したブラジルの印象について久保は調子いいですし世界ランク1位のチームが調子いいとこうなんだなとコメントさらにブラジル戦への意気込みを口にする例えばラリーガだったらレアルマドリーやバルセロナと対戦するのと近い気持ちがありますね彼らは僕たちが気合い入れたり楽しみにしてくるのが日常慣れているとは思いますけど僕からしたら代表で格上とするのは初めてなのでワクワクはしていますまた久保は202122シーズンを総括マジョルカでは本領を発揮できたシーズンとはいえず今年はケガに悩まされたと認めているケガの後はあまりうまくいかなかったので悪い意味でのターニングポイントになってしまったかなとその中でも一度チャンスをもらいながらケガでふいにしてしまって今は代表ではそこからのスタートということで這い上がるのは難しいですけどそこは割り切ってパラグアイ戦では焦りとかも出て本来の自分のいいプレーはできなかった今度は割り切って焦りもないかなと思います4日に21歳となった久保はこの一年について問われこのように回答しているサッカーは上手くなっていると思いますし少し肉体改造も目に見えてきてみんなからも言われることが増えてきました元からの自分のスタイルと融合させていければ
天安門33年 今も語ること許されず,国際,中国北京で民主化を求める学生らを軍が武力で鎮圧し多数の死傷者を出した天安門事件から4日で33年となるしかし今も事件を公に語る事は許されず中国政府の厳しい検閲によりネットで検索することも出来ない画像33年前の天安門事件 傷ついた仲間を運ぶ若者たち 当時中学3年生で天安門広場周辺のデモに参加した民主活動家の胡佳さんは2007年12月に国家政権転覆扇動罪で収監され懲役3年6カ月の刑期を終えたが現在も中国当局による監視を受けている胡さんは北京市内でFNNの取材に応じ中国で人権や言論の自由を制限する動きはさらに強まっているとし習近平国家主席は皇帝になる道を整えたと強調した
ひょうで車ボコボコ 保険どうなる,経済,関東地方北部で激しい雹ひょうによる被害が相次いだTwitter上にはピンポン球大の雹が降ってきたという報告もあり車や家に傷がついたとする投稿も多数ある一時車ボコボコがトレンド入りする事態にまでなった近年相次ぐ異常気象もし雹による被害を受けた場合保険は適用されるのかすべきことは何なのかBuzzFeed Japan  籏智広太写真雹ひょうの被害でフロントガラスが割れた車雹ひょうとは気象庁によると直径5mm以上の氷の粒を指す一方で霰あられはそれ未満の氷の粒だゴルフボールや野球のボール大のものが降ることもあるといいそのスピードも相まって被害が広範に及ぶこともある雹や霰による被害は保険の対象となるのか日本損害保険協会の広報担当者はBuzzFeed Newsの取材に一般的に雹や霰による被害も火災保険の補償の対象に自動車の車体の損害については車両保険の対象となりますとコメントした任意の車両保険に加入をしていればたとえば車のボディの凹みやフロントガラスドアバイザーライト類などの破損は補償の対象になるということだ一方住宅の屋根や雨樋窓網戸カーポートや物置などの場合建物を対象にした火災保険に加入していれば同様に対象となる家財の被害については対象としたものに加入している必要がある近年増えている太陽光パネルが建物家財のどちらかになるかについてはパネルの所有者によって異なるようです同担当者保険会社への確認が必要だ
自民幹事長 参院選6/22公示と明言,国内, 自民党の茂木敏充幹事長は4日甲府市での会合で参院選に関し間違いなく6月22日公示になると述べた15日に会期末を迎える今国会の会期延長がない場合慣例通り日曜日に投票するなら公選法の規定で7月10日が投票日となる選挙日程は政府が閣議決定する1人区一騎打ちは12選挙区に 共産12選挙区で擁立見送り
漁港沖で漁船転覆し2人死亡 石川,地域, 4日午前7時10分ごろ石川県珠洲市の折戸漁港沖で3人乗りの漁船が転覆していると地元住民から118番があった別の漁船が海上で漂流していた80代男性2人を救助したがいずれも搬送先の病院で死亡が確認された自力で岩場に泳ぎ着いた70代男性は軽いけが 能登海上保安署によると同日午前6時ごろ3人の家族が地元住民に漁に出たまま帰ってこないと連絡別の漁船が付近を捜索したところ漁港から約200メートル離れた岩場の近くで漁船が転覆しており漂流していた男性らが見つかった海保が詳しい状況を調べている
コロナで国に借金 相次ぎ自己破産,国内, 新型コロナウイルスの影響で生活が苦しくなった人に国が無利子でお金を貸す仕組みがある返済期限はまだ先にもかかわらず既に返せないと自己破産する人が相次いでいる返済困難な金額は現時点で約20億円に上り今後さらに膨らむのが確実だ大半が返ってこない恐れもあり最終的には国民負担に跳ね返るなぜ生活再建に結び付かず苦境に追い込まれる人が多く出てくるのか取材すると制度の弊害が浮かんできた共同通信大野雅仁出崎祐太郎市川亨グラフコロナ特例貸付金の利用総額の推移 自己破産や返済困難が約5000人
急な「ひょう」被害 身を守るには,科学,ひょうの被害が関東で続き群馬藤岡市では2日ゴルフボール大のひょうも降りました真夏ほど気温が高くない6月は降りやすい時期ですそのメカニズムや時速100キロ以上にもなる落下速度などの危険性身を守る方法をお伝えします
永島アナ 「選手の娘」イヤだった,エンタメ,フジテレビ朝の看板番組めざましテレビの7代目女性メーンキャスターを務め現在は昨年からの新情報番組めざまし8の初代メーンキャスターを務める永島優美アナウンサー父は元サッカー日本代表の永島昭浩で自身は学生時代をチアリーディングに捧げてきた“サッカー選手の娘”として悩みを抱えていたという当時の記憶を振り返った全3回の1回目23に続くインタビュー写真父は元サッカー日本代表フジ永島優美アナの特別撮りおろしインタビュー写真を全部見る貴重な幼少期から新人アナ時代も スタジオを明るく照らす笑顔それがアナウンサー永島優美さんの最大の魅力だろう だが幼少の頃はテレビ越しに見る明るい永島さんの姿が想像できない時期があった
篠山輝信&元NHK雨宮アナが離婚,エンタメ, 俳優の篠山輝信と妻で元NHKの雨宮萌果アナウンサーが離婚したことが4日に分かった同日に雨宮アナが自身のブログで発表した この場で大切なことをお伝えさせていただきます実は私少し前に独身に戻りましたと報告続けて篠山輝信さんと過ごした時間はとても楽しく有意義な時間でしたが話し合いの末お互いの人生を尊重しそれぞれの道を歩むことにいたしましたと説明した 離婚を決断したが輝信さんのご家族の皆様にも大変可愛がっていただき感謝の気持ちでいっぱいですと相手を思いやりこれからは自分自身の人生の新たな扉を開き次に進んでいこうと思います今後も輝信さんそして私を温かく見守っていただけましたら幸いですとつづった 2人は2019年1月に結婚篠山はNHK情報番組あさイチにレギュラー出演し雨宮アナも同番組にリポーターとして出演していたことから“あさイチ婚”と話題になったがわずか3年で幕を閉じた 篠山は写真家篠山紀信氏と元歌手南沙織さん夫妻の次男でドラマや映画舞台などで活躍一方の雨宮アナは11年にNHK入局し19年3月に退職現在はフリーアナウンサーとして活動しフジテレビ系ウワサのお客さまのレギュラーなどを務めている
国税職員ら不正受給 逮捕計9人に,地域, 国の新型コロナ対策の持続化給付金をだまし取ったとして東京国税局職員ら男女7人が逮捕された事件で大和証券の元社員中峯竜晟被告27詐欺罪で起訴が審査がきちんとされず偽造書類でも簡単に金が出ると思ったと供述していることが4日捜査関係者への取材で分かった写真東京国税局職員ら逮捕 約2億円大半を暗号資産関連の事業に投資か
永島優美アナ スター選手の娘悩み,エンタメ,フジテレビ朝の看板番組めざましテレビの7代目女性メーンキャスターを務め現在は昨年からの新情報番組めざまし8の初代メーンキャスターを務める永島優美アナウンサー父は元サッカー日本代表の永島昭浩で自身は学生時代をチアリーディングに捧げてきた“サッカー選手の娘”として悩みを抱えていたという当時の記憶を振り返った全3回の1回目23に続くインタビュー写真父は元サッカー日本代表フジ永島優美アナの特別撮りおろしインタビュー写真を全部見る貴重な幼少期から新人アナ時代も スタジオを明るく照らす笑顔それがアナウンサー永島優美さんの最大の魅力だろう だが幼少の頃はテレビ越しに見る明るい永島さんの姿が想像できない時期があった
大谷ノーヒット エ軍は泥沼9連敗,スポーツ,米大リーグ フィリーズ10―0エンゼルス3日フィラデルフィアシチズンズバンクパーク エンゼルスの大谷翔平投手が3日日本時間4日敵地フィラデルフィアで渡米後初対戦となるフィリーズ戦に2番DHで先発出場も3打数無安打1四球打率はこれで2割4分チームも10―0と完敗し6年ぶりの9連敗となった 3連敗中だったフィリーズ先発のエフリンに合わなかった第1打席が外角低めのカーブを見逃し三振第2打席はフルカウントと粘って四球第3打席はチェンジアップをひっかけて二直第4打席もフルカウントにもちこんだが外角直球に空振り三振だった 昨季ナリーグMVPとなったハーパーとのMVP対決が注目されたがハーパーが11号3ランに12号ソロと2発4打点の活躍圧倒された 試合はエンゼルスの先発シルセスが1回シュワバーに先頭打者アーチを浴び2回には新人ストットにメジャー初アーチとなる3ラン本塁打を許し2回途中で降板その後3本塁打を許す一方打線は8回までエフリン9回はノーウッドに散発5安打で5月3日のレッドソックス戦以来の完封負け大谷に加え主砲トラウトが5試合連続ノーヒットとエンゼルスファンの心配は続きそうだ
大坂 19年以来の全英OP出場か,スポーツ, ロンドン共同テニスの四大大会ウィンブルドン選手権6月27日開幕の主催者は3日シングルスの出場予定選手を発表し女子で元世界ランキング1位の大坂なおみフリーが名を連ねた世界ランキングのポイントが付与されないことを理由に欠場する可能性を示唆していた大坂は出場すれば2019年以来となる欠場する可能性 大坂ポイントがなければ 5月
銃撃受け ロイター記者ら3人死傷,国際, ロイター通信は3日ウクライナ東部セベロドネツク近郊で同社の記者2人が車で移動中に銃撃を受けて負傷し同行していた運転手が死亡したと報じた地図ロシア軍のウクライナ侵攻状況2月から現在 ロイターによると負傷したのは写真記者のアレクサンドルエルモチェンコさんと映像カメラマンのパベルクリモフさん死亡した運転手は親露派勢力がロイターの取材同行用に手配したといい同社が身元の確認を進めている 3人は親露派勢力から提供された車に乗りウクライナ東部の都市ルビージュネから約10キロ南のセベロドネツクに移動中だった負傷した2人はルビージュネの病院に移され手当てを受けているエルモチェンコさんは銃弾の小さな破片で負傷しクリモフさんは腕を骨折しているというロイターは運転手の家族に深い哀悼の意を表するとの声明を発表した ロシア軍はセベロドネツクで攻勢を強めておりウクライナ軍との激しい戦闘が続いている5月30日にはフランスのニュース専門テレビBFMの映像記者フレデリックルクレールイモフさんがセベロドネツク近郊でトラックに乗り移動中車内に貫通した砲弾の破片で死亡したブリュッセル宮川裕章
野沢雅子 ピッコロ役に文句言った,エンタメ, アニメドラゴンボールシリーズで主人公孫悟空の声を担当する声優の野沢雅子が劇場版最新作ドラゴンボール超 スーパーヒーローの公開を前に本作で満を持してメインを張る悟空の息子孫悟飯と厚い信頼で結ばれたピッコロとの師弟関係について語った動画インタビュー野沢雅子悟空悟飯決定時の裏話 2018年公開のドラゴンボール超 ブロリーから4年ぶりとなる新作映画しかし野沢は今年はなくても必ず来年には新作があると思って待っているんです悟空は奥に引っ込んでるような人じゃない平和のためにはどんな所にでも行くような人だし私も悟空と一緒に生きてますからと準備万端だったようだ
野沢雅子 悟飯は自分の息子のよう,エンタメ, アニメドラゴンボールシリーズで主人公孫悟空の声を担当する声優の野沢雅子が劇場版最新作ドラゴンボール超 スーパーヒーローの公開を前に本作で満を持してメインを張る悟空の息子孫悟飯と厚い信頼で結ばれたピッコロとの師弟関係について語った動画インタビュー野沢雅子悟空悟飯決定時の裏話 2018年公開のドラゴンボール超 ブロリーから4年ぶりとなる新作映画しかし野沢は今年はなくても必ず来年には新作があると思って待っているんです悟空は奥に引っ込んでるような人じゃない平和のためにはどんな所にでも行くような人だし私も悟空と一緒に生きてますからと準備万端だったようだ
ミニバン全盛 駐車場の高さ実態は,経済, 限られたスペースにより多くのクルマが駐車できるようにと商業施設やマンションなどを中心に立体駐車場機械式駐車場以下機械式駐車場が設置されています画像代償が強烈 何されるか分からない絶対に無断駐車してはいけない駐車場を見る20枚 しかし高さや車重などの制限があるため全高が高くて重量があるSUVやミニバンが主流となった現在普通車サイズの機械式駐車場だと駐車できないケースも発生しているようです 軽自動車でもスーパーハイトワゴンなど背の高いモデルが増えていますが駐車場の高さ制限はどうなっているのでしょうか
ピタゴラスイッチ 30回は撮り直し,エンタメ, NHKEテレのピタゴラスイッチが20周年を迎えました身近なモノを使ってからくりを作り球をゴールまで転がすピタゴラ装置など大人もついつい見入ってしまいますどんな人たちがどうやって作っているのでしょうメンバーに聞きに行きました写真ピタゴラ装置を作っている制作ユニットユーフラテスのメンバー ピタゴラスイッチの起源は20年前の慶応大学の研究室にさかのぼる 研究室の指導教員は佐藤雅彦さん電通出身でEテレの幼児向け番組おかあさんといっしょの中で流れる歌としてヒットしただんご3兄弟などで知られるクリエーターだ当時は慶応大環境情報学部の教授だった■佐藤雅彦さんの研究室が起点 佐藤さんは研究の過程で生まれたテーマを課題の形にして佐藤研究室の学生に出していたその解答のいくつかが現在のピタゴラスイッチの原型になった 例えば制約のある表現でいかに面白くハッとさせるかという課題ここからピタゴラスイッチの1コーナー10本アニメが生まれた棒のキャラクターが活躍するコーナーだ 番組になるきっかけは佐藤さんがNHKのディレクターから従来の知識を教える幼児教育番組ではなく考え方を伝える番組を佐藤研と一緒に作れないかと提案されたことだすでに作っていた直線だけを使ったアニメーションなどに新たな企画を加えて束ねひとつの番組にすることになった 大半のコーナーは佐藤さんの監修のもとに研究室のメンバーが作りNHK現在はNHKエデュケーショナルが担当が全体の編集や仕上げをした 研究室の学生たちは卒業後もユーフラテスという制作ユニットを立ち上げ制作を続けた その後佐藤さんは東京芸術大に移った最近10年ほどはユーフラテスの6人と東京芸大の佐藤研究室の院生らで作っている中心メンバーは20年間変わらない ピタゴラスイッチと言えば手作りのからくり装置に球を転がしてゴールをめざすピタゴラ装置が名物コーナーだこれまでに250ほどの装置を作った■学生時代は装置づくりの合宿も どれぐらいの時間をかけて作るのか 学生時代から制作に携わるユーフラテスの山本晃士ロバートさん42によると20年前メンバーが学生だった当初は装置を作るために合宿をしていたNHKのスタジオに朝から晩まで4日間貼り付いて1装置を23人で作った 現在は合宿という形にはしていないが年12回4日間かけて集中して作る今年のゴールデンウィークにも撮ったという 装置は毎回いちから作るため当然思うように球が動かず撮り直しを重ねる山本さんいわくいつも平均して30テイクぐらいはいくそうだ
ピタゴラスイッチ 装置どう作る?,エンタメ, NHKEテレのピタゴラスイッチが20周年を迎えました身近なモノを使ってからくりを作り球をゴールまで転がすピタゴラ装置など大人もついつい見入ってしまいますどんな人たちがどうやって作っているのでしょうメンバーに聞きに行きました写真ピタゴラ装置を作っている制作ユニットユーフラテスのメンバー ピタゴラスイッチの起源は20年前の慶応大学の研究室にさかのぼる 研究室の指導教員は佐藤雅彦さん電通出身でEテレの幼児向け番組おかあさんといっしょの中で流れる歌としてヒットしただんご3兄弟などで知られるクリエーターだ当時は慶応大環境情報学部の教授だった■佐藤雅彦さんの研究室が起点 佐藤さんは研究の過程で生まれたテーマを課題の形にして佐藤研究室の学生に出していたその解答のいくつかが現在のピタゴラスイッチの原型になった 例えば制約のある表現でいかに面白くハッとさせるかという課題ここからピタゴラスイッチの1コーナー10本アニメが生まれた棒のキャラクターが活躍するコーナーだ 番組になるきっかけは佐藤さんがNHKのディレクターから従来の知識を教える幼児教育番組ではなく考え方を伝える番組を佐藤研と一緒に作れないかと提案されたことだすでに作っていた直線だけを使ったアニメーションなどに新たな企画を加えて束ねひとつの番組にすることになった 大半のコーナーは佐藤さんの監修のもとに研究室のメンバーが作りNHK現在はNHKエデュケーショナルが担当が全体の編集や仕上げをした 研究室の学生たちは卒業後もユーフラテスという制作ユニットを立ち上げ制作を続けた その後佐藤さんは東京芸術大に移った最近10年ほどはユーフラテスの6人と東京芸大の佐藤研究室の院生らで作っている中心メンバーは20年間変わらない ピタゴラスイッチと言えば手作りのからくり装置に球を転がしてゴールをめざすピタゴラ装置が名物コーナーだこれまでに250ほどの装置を作った■学生時代は装置づくりの合宿も どれぐらいの時間をかけて作るのか 学生時代から制作に携わるユーフラテスの山本晃士ロバートさん42によると20年前メンバーが学生だった当初は装置を作るために合宿をしていたNHKのスタジオに朝から晩まで4日間貼り付いて1装置を23人で作った 現在は合宿という形にはしていないが年12回4日間かけて集中して作る今年のゴールデンウィークにも撮ったという 装置は毎回いちから作るため当然思うように球が動かず撮り直しを重ねる山本さんいわくいつも平均して30テイクぐらいはいくそうだ
