title,category,text
あおり差し戻し 危険運転罪認める,地域,5年前神奈川県大井町の東名高速で起きたあおり運転死傷事故の差し戻し審の判決公判が午後1時半から開かれた横浜地裁は危険運転致死傷などの罪に問われた石橋和歩被告30に対して懲役18年の実刑を言い渡した求刑懲役18年画像 亡くなった萩山嘉久さん当時45と妻の友香さん当時39争点だった危険運転罪の成立を認めた弁護士によると石橋被告は判決について非常におかしい自分の述べたことをちゃんと理解されていないのはとても残念だと話していて即日控訴する意向だという起訴状などによると石橋被告は2017年6月5日神奈川県大井町の東名高速で車を運転中に萩山嘉久さん当時45の家族4人が乗ったワゴン車にあおり運転を繰り返し高速道路上に車を停止させたというそこに後続のトラックが突っ込み萩山さんと妻の友香さん当時39が死亡し娘2人が負傷石橋被告もケガをした事故直前近くのサービスエリアで石橋被告は車の駐車位置をめぐって萩山さんから注意されそのことに腹を立ててあおり運転に及んだとされる高速道路上で車を降りた石橋被告は歩いて近づき萩山さんの胸ぐらをつかむなどした所にトラックが突っ込んだという危険運転致死傷などの罪に問われた石橋被告はこれまでの裁判で自分は事故になるような危険な運転はしていないし人がけがをしたり亡くなったりする事故はしていないとして危険運転罪については無罪を主張また相手の車が減速して止まって自分も減速して止まった相手が先に止まったと事故当時の状況を説明し萩山さんの車を高速道路上に停止させたことを否定した弁護側も後続のトラックに過失があったと主張している一方検察側は執拗かつ危険で悪質な犯行として懲役18年を求刑していたきょうの判決で横浜地裁は死傷した結果は妨害運転の危険性が現実化したものと言えるとして危険運転致死傷罪は成立すると判断し懲役18年を言い渡した法廷で石橋被告は椅子に深く腰掛けたまま判決文の読み上げを聞いていた石橋被告をめぐっては2018年横浜地裁が危険運転罪を認定して懲役18年の判決を言い渡した求刑懲役23年しかし控訴審で東京高裁は裁判の手続きに違法な点があったとして一審判決を取り消して審理を差し戻したこのため今年1月から横浜地裁で”異例”の裁判のやり直しが行われていた
新日本 飯伏幸太に違反で減俸処分,スポーツ, 新日本プロレスは6日選手契約違反により所属選手の飯伏幸太と管理責任により大張高己社長に3カ月減俸10選手への不適切発言に基づく服務規律違反により同社担当者に減俸10および職務内容変更の処分を決めたと発表した写真右肩関節前方脱臼骨折した瞬間の飯伏 苦痛で突っ伏す 飯伏は右肩関節前方脱臼骨折などで欠場中の3月他団体のプロレス興行に無断で訪れてセコンドについたことを問題視した新日本プロレスの社員から解雇通告ともとらえられるメッセージをLINEで送られたとしてツイッター上で批判し退団引退を示唆していた 5月27日には大張社長親会社ブシロードの木谷高明会長が会見を開き騒動の経緯を説明して謝罪飯伏の契約解除を否定し無断での他団体出場は専属契約に反する行為内部のやりとりの公開も契約に反する行為と飯伏を処分することを明言していた
「いろはす」容器 13年ぶりの刷新,経済, コカコーラシステムは6日いろはす 天然水555mlを平たくたためる新容器のいろはす 天然水540mlに刷新して20日から北海道で先行発売すると発表した 2009年のいろはすブランド誕生以来13年ぶりの刷新となる 希望小売価格は現行の555mlと同様の税別120円
あおり差し戻し審 懲役18年実刑,地域,5年前神奈川県大井町の東名高速で起きたあおり運転死傷事故の差し戻し審の判決公判が午後1時半から開かれた横浜地裁は危険運転致死傷などの罪に問われた石橋和歩被告30に対して懲役18年の実刑を言い渡した求刑懲役18年画像 亡くなった萩山嘉久さん当時45と妻の友香さん当時39争点だった危険運転罪の成立を認めた弁護士によると石橋被告は判決について非常におかしい自分の述べたことをちゃんと理解されていないのはとても残念だと話していて即日控訴する意向だという起訴状などによると石橋被告は2017年6月5日神奈川県大井町の東名高速で車を運転中に萩山嘉久さん当時45の家族4人が乗ったワゴン車にあおり運転を繰り返し高速道路上に車を停止させたというそこに後続のトラックが突っ込み萩山さんと妻の友香さん当時39が死亡し娘2人が負傷石橋被告もケガをした事故直前近くのサービスエリアで石橋被告は車の駐車位置をめぐって萩山さんから注意されそのことに腹を立ててあおり運転に及んだとされる高速道路上で車を降りた石橋被告は歩いて近づき萩山さんの胸ぐらをつかむなどした所にトラックが突っ込んだという危険運転致死傷などの罪に問われた石橋被告はこれまでの裁判で自分は事故になるような危険な運転はしていないし人がけがをしたり亡くなったりする事故はしていないとして危険運転罪については無罪を主張また相手の車が減速して止まって自分も減速して止まった相手が先に止まったと事故当時の状況を説明し萩山さんの車を高速道路上に停止させたことを否定した弁護側も後続のトラックに過失があったと主張している一方検察側は執拗かつ危険で悪質な犯行として懲役18年を求刑していたきょうの判決で横浜地裁は死傷した結果は妨害運転の危険性が現実化したものと言えるとして危険運転致死傷罪は成立すると判断し懲役18年を言い渡した法廷で石橋被告は椅子に深く腰掛けたまま判決文の読み上げを聞いていた石橋被告をめぐっては2018年横浜地裁が危険運転罪を認定して懲役18年の判決を言い渡した求刑懲役23年しかし控訴審で東京高裁は裁判の手続きに違法な点があったとして一審判決を取り消して審理を差し戻したこのため今年1月から横浜地裁で”異例”の裁判のやり直しが行われていた
元民主党副代表 石井一氏が死去,国内, 旧民主党副代表で国家公安委員長兼自治相を務めた石井一いしいはじめ氏が4日午後急性心不全のため死去した87歳神戸市出身葬儀は7日近親者で行う本葬は18日午後1時から神戸市中央区下山手通8の1の1本願寺神戸別院で喪主は長男で西宮市長の登志郎としろう氏写真今の政治家に喝を入れる石井氏 4日に東京都内で倒れ搬送先の病院で死亡が確認された 石井氏は1969年衆院旧兵庫1区に自民党から立候補し初当選衆院議員を11期務め国家公安委員長兼自治相や国土庁長官などを歴任した 運輸政務次官時代の77年にはバングラデシュのダッカ空港で日本赤軍によるハイジャック事件が発生政府派遣団長として現地に入り犯人側との交渉に当たった 93年の自民離党後は新進党などを経て民主党に参加自由党との合併を進め二大政党制の実現に尽力した2005年の衆院選で落選したが07年に参院にくら替えして初当選し09年の政権交代に貢献民主の党勢低迷のため党副代表だった13年の参院選比例代表で落選した14年旭日大綬章を受章した
5歳遺棄 床下の白骨は同居女性,地域,埼玉県本庄市で住宅の床下に5歳の男の子の遺体が埋められていた事件で同じ床下から白骨化した遺体が見つかり埼玉県警は同居していた高齢の女性と特定した虐待の末に5歳児が命を落とした事件は新しい展開を迎えることになったこの事件は今年3月本庄市の住宅の床下から柿本歩夢くん当時5の遺体が見つかったものこれまでに歩夢くんの母親の柿本知香容疑者30と同居人の石井陽子容疑者54らが歩夢くんに対する死体遺棄や傷害致死などの疑いで逮捕されている取材では歩夢くんに対してしつけと称して執拗な虐待が繰り返されていたことも明らかになった一方これまでに県警が現場の住宅の床下を調べたところ歩夢くんの遺体が埋められていた場所の近くで白骨遺体が見つかったというその後の調べで遺体の身元が石井容疑者らと同居していた高齢女性と特定されたかつてこの女性が近所の人に助けを求める様子が目撃されていた取材に対して近所の人はおばあちゃんが逃げてきて殺されるって逃げてきたんでびっくりして警察に来てもらったら石井容疑者たちがおばあちゃんどこ行ってたのよと迎えに来たなどと話していた県警はきょう歩夢くんに対する別の暴行容疑で柿本容疑者と石井容疑者を再逮捕するとともに高齢女性が死亡した経緯についても調べる方針だ
全米で銃撃相次ぐ 11人が死亡,国際, アメリカでこの週末に銃撃事件が相次いで発生し11人が死亡54人が負傷しています ペンシルベニア州フィラデルフィアの繁華街で4日午後11時半ごろ口論をきっかけに銃の撃ち合いが始まりました 14人が撃たれこのうち3人が死亡しています 被害者は口論をした2人と面識はなく事件に巻き込まれたとみられています テネシー州チャタヌーガでは5日午前3時ごろナイトクラブで発砲事件が起き2人が銃撃で死亡しました また現場から逃げようとした1人が車にはねられて死亡しています アメリカメディアによりますとこの週末だけで全米で少なくとも7件の銃撃事件が起き11人が死亡54人がけがをしたということですC CABLE NEWS NETWORK 2022
サボりおじさん実態は モヤる若者,経済, 年を取っても働き続ける社会に近づいている日本その一方で働かないおじさんというワードがネット上で話題になっていますサボっているように見える人や事なかれ主義の管理職仕事への意欲が低いのに高い給料をもらっているんじゃないかと広島の20代30代の中にもモヤモヤを募らせている人がいます一覧働かないおじさんにならないための5カ条 ホワイトボードに詰まっている予定がどうも怪しい広島県内の中堅企業に勤める女性27は職場の50代男性への不信感が消えない週4日は917時外回りと書いてあるが営業車で寝ている喫茶店に入り浸っているとの目撃情報が多数社内でもパソコンをじーっと見つめたまま手が動いていない目を開けたまま寝ているのではとすら疑っている 動きが機敏なのは喫煙タイムだけ当然業績は良くないでも本人は開き直っている会議でも来月は頑張りますと反省した振りをするが頑張る姿を見たことがない 何しに会社に来てるのみたいな人この人だけじゃないしと女性はため息をつく
男性の性被害 厚労省が実態調査へ,国内, 厚生労働省が本年度から男性男児の性暴力被害に特化した実態調査に初めて乗り出すことが6日同省への取材で分かった男性の性被害はまだ社会的な認知度が低く事実が表面化しづらい側面があることから現状把握と分析を進め支援体制の整備を急ぐ既に研究班を設置し調査の詳細を検討している動画韓国の男性リポーターもキス被害セクハラかと議論 2018年ロシア
ジャンプの海賊マーク 命名に驚き,エンタメ, 週刊少年ジャンプ集英社のトレードマークである“ジャンプパイレーツ海賊マーク”の名前がジャーニーになったことが6日発売の同誌27号と6日放送のテレビ東京系の子ども向けバラエティー番組おはスタで発表された動画ジャンプ海賊マークには妹がいた90°回転すると現れる美女ジェイミー 1968年7月11日に創刊し2018年に創刊50周年を迎えた週刊少年ジャンプジャンプではおなじみになった”ジャンプの海賊マーク”だが正式な名前はなくおはスタと協力し3月より名前を募集していた そして週刊少年ジャンプ編集長最強ジャンプ編集長Vジャンプ編集長が集英社に届いた大量の候補の中から本気で1つ選びジャンプの海賊マークはジャーニーと命名 ジャーニーは英語Journeyだと旅という意味があり選んだ理由について週刊少年ジャンプの中野博之編集長は番組内でジャンプ漫画の主人公のような“冒険”を感じさせるところがすばらしかったと説明した またジャーニーと名前をつけた“れおなちゃん”も番組に生出演リモートしジャンプの“ジャ”とスバにぃMCの木村昴の愛称の“にぃ”でみんなが呼びやすい“ジャーニー”にしましたと話すとスバにぃは“スバにぃ”のことも入れてくれてうれしいよ めちゃくちゃ呼びやすいね 本当に天才だと思うと絶賛した 無事に名前が決まったが今までジャンプの海賊マークに名前がなかったことにネット上では今日まで名前がなかったのが意外子どもの時から見かけていたけれど何十年も名前がなかったとは知らなかったまじか 名前今までなかったのかなどと驚きの声があがっている なお驚くことはまだある実はこの”ジャンプの海賊マーク”は左に90°回転した際に女の子が現れこの女の子は“ジェイミー”と呼ばれている これは2018年4月にジャンプの小説レーベルJUMP j BOOKS25周年のイメージキャラクターとして誕生したものでジェイミーはジャンプの海賊マークの妹という設定にその際ジャンプの海賊マークの生みの親であるデザイナー古川正俊氏は当時の編集長に海賊と女というようなイメージをもらってデザインをしました創刊号には漫画新幹線というキャッチコピーがありますがそれよりももっと自由奔放なイメージを作りたくてデザインしましたと説明 当初から横向きにしたら女の子になるよう意図したわけではありませんがデザインをする途中でそうなるのは分かっていましたまさに偶然の産物というところでしょうか50年前にデザインしたこのマークが今や世界中に広がっているのは嬉しいですと伝えていた
